Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.02, -145, -145,NaN,NaN
0.04, -145, -145,NaN,NaN
0.3733333, -0.4536591, 4.242203,-12.68017,-10.26283
0.4005817, -0.4538116, 4.242233,-12.68154,-10.26489
0.4180254, -0.4535217, 4.242142,-12.68125,-10.26346
0.443339, -0.4536133, 4.242142,-12.67334,-10.25693
0.4625874, -0.4537659, 4.242188,-12.68592,-10.2694
0.484809, -0.2581635, 4.234848,-12.7324,-10.35915
0.5075377, -0.2581787, 4.234833,-12.73641,-10.36261
0.5291732, -0.2583008, 4.234924,-12.73801,-10.36498
0.5514384, -0.2583618, 4.234802,-12.7381,-10.3651
0.5736345, -0.2582245, 4.234833,-12.74115,-10.36829
0.5967556, -0.3048096, 4.218491,-12.57992,-10.29183
0.6180606, -0.3049164, 4.218582,-12.57269,-10.28552
0.640249, -0.3048096, 4.218567,-12.58017,-10.29191
0.6631157, -0.3049927, 4.218613,-12.57086,-10.28393
0.6847694, -0.30513, 4.218597,-12.57874,-10.29089
0.70682, -0.2692871, 4.227936,-12.71155,-10.25575
0.7339925, -0.2694092, 4.228104,-12.71004,-10.25482
0.7517748, -0.2693176, 4.228058,-12.70445,-10.249
0.7740721, -0.269516, 4.227951,-12.7133,-10.25759
0.7963392, -0.1866608, 4.147247,-12.64353,-10.3991
0.8191074, -0.1867371, 4.1474,-12.64705,-10.40313
0.8406206, -0.1868896, 4.147339,-12.64716,-10.40202
0.8628705, -0.1869354, 4.147598,-12.63767,-10.39443
0.8851614, -0.1869965, 4.147659,-12.64086,-10.39698
0.907331, -0.3811798, 4.207092,-12.6634,-10.29299
0.9296705, -0.3812408, 4.207016,-12.67156,-10.30042
0.9521623, -0.3809814, 4.20694,-12.67823,-10.30597
0.9741237, -0.3810577, 4.20694,-12.67457,-10.30346
0.9963022, -0.381012, 4.20694,-12.66957,-10.29876
1.019161, -0.3578033, 4.13327,-12.62538,-10.36334
1.043105, -0.3578644, 4.133408,-12.61357,-10.35264
1.067501, -0.3577118, 4.133347,-12.62355,-10.36193
1.090184, -0.3578949, 4.133408,-12.62705,-10.36521
1.112744, -0.2468719, 4.213867,-12.6791,-10.35732
1.13464, -0.2466888, 4.213715,-12.68046,-10.35848
1.156728, -0.2465057, 4.213776,-12.67319,-10.35175
