Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
1.011475, -0.1495056, 4.23764,-12.73124,-10.44616
2.01419, -0.1030884, 4.126816,-12.7326,-10.43884
3.024769, 0.006332397, 4.293518,-12.83509,-10.55639
4.035623, -0.05915833, 4.203064,-12.78911,-10.50838
5.043746, -0.005081177, 4.380325,-12.75802,-10.23931
6.046034, -0.1150055, 4.474762,-12.74378,-10.22154
7.056761, 0.03326416, 4.395111,-12.70361,-10.43474
8.067568, -0.07478333, 4.341171,-12.77184,-10.37623
9.076066, -0.1146393, 4.417999,-12.711,-10.28893
10.07801, 0.0002288818, 4.35466,-12.72562,-10.41267
11.08881, 0.08073425, 4.421585,-12.71449,-10.32143
12.09964, 0.07406616, 4.327942,-12.79292,-10.36699
13.11054, 8.008499, -3.353882,-13.69605,-11.714
14.12115, 7.873337, -3.093399,-13.79949,-11.61007
15.12116, 7.676422, -3.280869,-13.82615,-11.85075
16.13148, 7.499527, -3.336166,-13.5833,-11.8043
17.1423, 7.727722, -3.160873,-13.56999,-11.59943
18.15318, 7.60141, -3.327133,-13.51548,-11.54381
19.16386, 7.525436, -3.290588,-13.53894,-11.74795
20.17473, 7.30127, -3.274277,-13.57964,-11.64112
21.18538, 7.318832, -3.389786,-13.47115,-11.81911
22.19615, 7.197632, -3.222534,-13.62871,-11.52706
23.20692, 15.54915, -11.6581,-15.88991,-13.50912
24.21769, 15.40726, -11.71468,-16.07828,-13.2661
25.22858, 15.25418, -11.65033,-16.0001,-13.65441
26.23934, 15.1124, -11.74223,-15.90485,-13.55384
27.25017, 14.98723, -11.87352,-15.90319,-13.55643
28.26151, 14.85825, -11.92522,-16.11812,-13.71139
29.27175, 14.96425, -11.89859,-16.26353,-13.49034
30.28239, 14.81754, -11.86679,-16.05252,-13.48329
31.2931, 14.78004, -11.8929,-16.23757,-13.46817
32.30386, 14.58159, -11.78297,-16.12272,-13.61282
33.31556, 20.42107, -21.28437,-20.90271,-18.36435
34.3257, 20.33725, -21.45104,-21.04111,-18.06826
35.33615, 20.82224, -21.56013,-20.00616,-18.27918
36.34698, 20.73483, -21.58247,-20.16562,-18.24999
37.35765, 20.29709, -21.50562,-21.23278,-18.06548
38.36849, 20.52379, -21.51923,-21.00483,-18.04762
