Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.04, -145, -145,NaN,NaN
0.3733333, -0.4933777, 4.043427,-12.33426,-10.29285
0.4098418, -0.4933319, 4.043549,-12.32694,-10.28575
0.4496316, -0.493103, 4.043503,-12.33099,-10.28954
0.4836143, -0.6688995, 4.067276,-12.48117,-10.22761
0.5273094, -0.6688538, 4.067322,-12.46943,-10.21582
0.5717035, -0.6689606, 4.067291,-12.47431,-10.22082
0.6050827, -0.236618, 4.17868,-12.25727,-10.13507
0.6384245, -0.2364197, 4.17865,-12.2558,-10.13316
0.6828468, -0.2363434, 4.178741,-12.24863,-10.12667
0.7320368, -0.2987976, 4.054626,-12.39089,-10.2572
0.7720835, -0.2986145, 4.05452,-12.39598,-10.26245
0.8055649, -0.3333893, 4.086975,-12.40757,-10.32863
0.8501133, -0.3332672, 4.086914,-12.40415,-10.32502
0.894499, -0.3334808, 4.087097,-12.40526,-10.32593
0.927848, -0.2509155, 4.002136,-12.46911,-10.22053
0.9722255, -0.2506409, 4.002075,-12.47031,-10.22228
1.005956, -0.1763153, 4.102112,-12.34717,-10.25948
1.041758, -0.1762238, 4.102005,-12.34144,-10.25462
1.077155, -0.1764069, 4.102005,-12.34272,-10.25547
1.110567, -0.1319427, 4.054413,-12.3303,-10.31134
1.144046, -0.132019, 4.05455,-12.32392,-10.30566
1.188553, -0.1321716, 4.054596,-12.32046,-10.30205
1.232631, -0.2486572, 4.119141,-12.45145,-10.15912
1.26702, -0.2486115, 4.119247,-12.43384,-10.14188
1.310318, -0.2485962, 4.119171,-12.44446,-10.15213
1.344172, -0.1857605, 4.085358,-12.52733,-10.22353
1.388081, -0.1856384, 4.085388,-12.52398,-10.22041
1.421883, -0.1858978, 4.085297,-12.52416,-10.22078
1.465945, -0.2359467, 4.087326,-12.42712,-10.21214
1.510379, -0.2360687, 4.087234,-12.43858,-10.22281
1.554819, -0.2991791, 4.073639,-12.32099,-10.32553
1.599308, -0.2993469, 4.073608,-12.32233,-10.32664
1.6437, -0.1394653, 4.116364,-12.59258,-10.26036
1.688126, -0.1392212, 4.116333,-12.58189,-10.24999
1.721533, -0.1393433, 4.116302,-12.59113,-10.25848
1.755346, -0.2592468, 4.124161,-12.40423,-10.1201
1.79921, -0.2593079, 4.124069,-12.40726,-10.12299
1.84381, -0.2592316, 4.1241,-12.40625,-10.1222
1.888327, -0.03596497, 4.115402,-12.42233,-10.20661
1.921928, -0.03596497, 4.11528,-12.41835,-10.20229
1.955298, -0.03599548, 4.115494,-12.4148,-10.19975
1.999547, -0.06472778, 4.09726,-12.40699,-10.18715
2.043414, -0.06462097, 4.097214,-12.40156,-10.1819
2.08805, -0.1759491, 4.05748,-12.42271,-10.17111
2.121481, -0.1761475, 4.057663,-12.41733,-10.1665
2.165771, -0.1763611, 4.057846,-12.42487,-10.17398
2.210021, 0.02322388, 4.116959,-12.47668,-10.23333
2.254483, 0.02304077, 4.116974,-12.48602,-10.24232
2.287875, -0.1376495, 4.144958,-12.53188,-10.19354
2.332268, -0.1374664, 4.144852,-12.52776,-10.18906
2.376695, -0.1376343, 4.144928,-12.52775,-10.18914
2.410455, 0.002151489, 4.085556,-12.44419,-10.32881
2.454538, 0.002304077, 4.08551,-12.44448,-10.32817
2.487893, 0.002441406, 4.08548,-12.4408,-10.32456
2.532372, 0.06022644, 4.177719,-12.48535,-10.28434
2.576642, 0.06044006, 4.17778,-12.48937,-10.28663
2.610044, -0.043396, 4.289413,-12.47377,-10.21144
2.654567, -0.04328918, 4.289307,-12.482,-10.21841
2.698734, -0.0433197, 4.289383,-12.47036,-10.20782
2.732547, -0.2732697, 4.400299,-12.36177,-9.966074
2.776548, -0.2732544, 4.400269,-12.36421,-9.967777
2.810025, -0.2731628, 4.400146,-12.37143,-9.974949
2.854337, -0.3565674, 4.32962,-12.41718,-10.09658
2.88777, -0.3566284, 4.329681,-12.42218,-10.10154
2.921275, -0.1724243, 4.380905,-12.47084,-10.08233
2.965711, -0.1725922, 4.381027,-12.48017,-10.09036
3.009808, -0.1721954, 4.380814,-12.48036,-10.09046
3.054362, -0.2643433, 4.31517,-12.52358,-10.08549
3.098679, -0.2641296, 4.315109,-12.52048,-10.08254
3.143113, -0.1076508, 4.361435,-12.45063,-10.04354
3.187491, -0.1079254, 4.361588,-12.44725,-10.04115
3.220889, -0.1080322, 4.361679,-12.44893,-10.04255
3.265418, -0.1647797, 4.407211,-12.55308,-10.06583
3.310369, -0.1647339, 4.407227,-12.54448,-10.05718
3.354266, -0.1748505, 4.263535,-12.5196,-10.03965
3.388165, -0.1748352, 4.263657,-12.51782,-10.03815
3.431871, -0.1749115, 4.263611,-12.51818,-10.0388
3.465464, -0.0378418, 4.263138,-12.41248,-10.05685
3.509696, -0.03791809, 4.263046,-12.40645,-10.0506
3.54309, -0.03770447, 4.262985,-12.40887,-10.05282
3.587488, -0.2147217, 4.3069,-12.45006,-10.03116
3.620907, -0.2148132, 4.306961,-12.4385,-10.02065
3.654405, -0.2149811, 4.306992,-12.44055,-10.02253
3.698442, -0.2723999, 4.24115,-12.41386,-10.00409
3.731825, -0.2723389, 4.241211,-12.4007,-9.991731
3.776785, -0.2719879, 4.241104,-12.41013,-9.999878
3.82069, 0.0493927, 4.326279,-12.41684,-9.967012
3.854819, 0.04945374, 4.326202,-12.41999,-9.970023
3.89842, 0.04934692, 4.326447,-12.41507,-9.965206
3.931756, 0.1269684, 4.335175,-12.32757,-10.14724
3.975968, 0.1270752, 4.335114,-12.32827,-10.14845
4.009588, 0.05381775, 4.281342,-12.47617,-10.05096
4.04295, 0.05357361, 4.281387,-12.47436,-10.0488
4.087257, 0.05348206, 4.281448,-12.47374,-10.04856
4.120914, 0.08830261, 4.286301,-12.33586,-10.10381
4.164981, 0.08831787, 4.286407,-12.33491,-10.10194
4.198825, 0.08851624, 4.286301,-12.32775,-10.09487
4.242683, -0.1790924, 4.276962,-12.6215,-10.05642
4.276087, -0.1789551, 4.277039,-12.61942,-10.0542
4.30958, -0.1790161, 4.277008,-12.62199,-10.05735
4.354082, -0.02258301, 4.321091,-12.37466,-10.16322
4.398273, -0.02272034, 4.321136,-12.36949,-10.15848
4.443521, -0.09194946, 4.332138,-12.42125,-10.16469
4.487324, -0.09205627, 4.332123,-12.42366,-10.16667
4.531474, -0.09199524, 4.332031,-12.43393,-10.17691
4.564965, 0.1498413, 4.338409,-12.41754,-10.04362
4.609365, 0.1500702, 4.338394,-12.40899,-10.03578
4.65388, 0.08009338, 4.397781,-12.45414,-10.1136
4.699163, 0.0799408, 4.397858,-12.44934,-10.10878
4.742533, 0.08021545, 4.397705,-12.4617,-10.1201
4.776134, 0.1913757, 4.330063,-12.47845,-10.18333
4.820493, 0.1914673, 4.330032,-12.47201,-10.17663
4.864918, 0.1776581, 4.408279,-12.47302,-10.13482
4.909136, 0.1776581, 4.408264,-12.46143,-10.12367
4.942523, 0.1777344, 4.408356,-12.45872,-10.12102
4.98714, 0.007125854, 4.384811,-12.48993,-10.06794
5.031332, 0.006896973, 4.384857,-12.47635,-10.05472
5.0647, 0.007019043, 4.384674,-12.48211,-10.05937
5.109134, -0.1530151, 4.257401,-12.41637,-9.882171
5.153682, -0.1530457, 4.257416,-12.41203,-9.878148
5.198543, 0.1668091, 4.333298,-12.43183,-9.974471
5.242385, 0.1667175, 4.333359,-12.42986,-9.97322
5.275898, 0.166748, 4.333313,-12.43773,-9.980174
5.32016, 0.06318665, 4.319351,-12.43475,-9.946261
5.354037, 0.06323242, 4.319336,-12.43785,-9.948532
5.397839, 0.06304932, 4.319351,-12.43369,-9.944813
5.431608, 0.08520508, 4.325287,-12.4825,-9.944654
5.475547, 0.0852356, 4.325287,-12.47665,-9.938898
5.509021, -0.003692627, 4.163986,-12.36545,-10.09048
5.542358, -0.003494263, 4.163925,-12.35581,-10.0808
5.586627, -0.003555298, 4.164032,-12.35976,-10.08474
5.620189, -0.1307678, 4.269394,-12.4181,-9.98795
5.653769, -0.1305847, 4.269363,-12.41313,-9.982912
5.697867, -0.130661, 4.269455,-12.41141,-9.982059
5.731348, -0.1093597, 4.314148,-12.44834,-10.03477
5.77604, -0.1090851, 4.314255,-12.44389,-10.03024
5.820131, -0.1091461, 4.314255,-12.44991,-10.03551
5.854055, -0.2015228, 4.379852,-12.57957,-9.982114
5.897723, -0.201416, 4.379852,-12.57841,-9.98078
5.942056, -0.2012787, 4.3797,-12.57778,-9.979883
5.986715, -0.2670441, 4.331482,-12.52596,-9.970305
6.031137, -0.2673492, 4.331619,-12.52438,-9.968835
6.075416, 0.09654236, 4.28804,-12.53604,-9.928859
6.120288, 0.09640503, 4.288055,-12.53544,-9.927903
6.164703, -0.2045441, 4.338776,-12.55042,-9.989904
6.208674, -0.2045135, 4.338715,-12.55718,-9.996732
6.242036, -0.2045441, 4.338776,-12.53824,-9.978173
6.286588, -0.1812744, 4.356964,-12.45969,-9.922283
