Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.3733333, -0.5361633, 4.200363,-12.59078,-10.52855
0.4790855, -0.3004761, 4.28096,-12.72921,-10.44592
0.5902323, -0.2365417, 4.224014,-12.75711,-10.43439
0.7011158, -0.1004028, 4.26358,-12.73304,-10.44833
0.801435, -0.1023254, 4.256485,-12.71871,-10.48714
0.9014973, 0.006027222, 4.272141,-12.73629,-10.49076
1.012727, -0.2241364, 4.226547,-12.77008,-10.5746
1.117691, -0.1183167, 4.24028,-12.61472,-10.48213
1.228525, -0.0254364, 4.21759,-12.65683,-10.58428
1.328738, -0.09953308, 4.193863,-12.66943,-10.65809
1.439634, -0.008804321, 4.288208,-12.61818,-10.50562
1.53978, -0.08856201, 4.296631,-12.64405,-10.51355
1.650802, -0.02903748, 4.310959,-12.64525,-10.49171
1.751061, -0.07817078, 4.179001,-12.70354,-10.58643
1.861858, 0.08355713, 4.242477,-12.63487,-10.57363
1.973145, -0.01792908, 4.116562,-12.64106,-10.55387
2.084126, -0.01739502, 4.210098,-12.64469,-10.50921
2.195009, -0.3845062, 4.254501,-12.76934,-10.47992
2.306061, -0.1897278, 4.433319,-12.59936,-10.35226
2.417155, -0.1567993, 4.43605,-12.76368,-10.40139
2.528265, 0.1649323, 4.460175,-12.71085,-10.30635
2.628544, -0.3163757, 4.473099,-12.77886,-10.3479
2.739523, -0.1453552, 4.453186,-12.85055,-10.38746
2.850233, -0.01875305, 4.466812,-12.79114,-10.36314
2.950363, -0.3527527, 4.527237,-12.77329,-10.29364
3.061369, 0.1670227, 4.481247,-12.76223,-10.29014
3.172857, -0.06845093, 4.464508,-12.80817,-10.38544
3.283519, -0.06845093, 4.486588,-12.7223,-10.34229
3.383553, 0.0128479, 4.462814,-12.67051,-10.35918
3.494509, -0.2035522, 4.365662,-12.74621,-10.34004
3.594561, 0.1073303, 4.462128,-12.65054,-10.39307
3.705612, 0.1711273, 4.424133,-12.69408,-10.39474
3.805613, -0.09788513, 4.497467,-12.71447,-10.28347
3.916775, 0.01954651, 4.521698,-12.74591,-10.33602
4.016778, 0.03536987, 4.523499,-12.75582,-10.32438
4.127749, 0.1970825, 4.523285,-12.76198,-10.31778
4.238729, -0.04821777, 4.430862,-12.71992,-10.34244
4.349864, -0.0544281, 4.411011,-12.66608,-10.31497
4.46078, 0.2051392, 4.576233,-12.72748,-10.41783
4.560913, 0.0007629395, 4.500595,-12.74343,-10.39711
4.672031, -0.00567627, 4.485886,-12.73041,-10.34639
4.78354, 0.1049347, 4.344055,-12.74823,-10.37309
4.894102, 0.101059, 4.219971,-12.68798,-10.46936
5.005105, -0.2380829, 4.401367,-12.63148,-10.36667
5.116287, -0.3373108, 4.470032,-12.80117,-10.4035
5.216343, 0.2012482, 4.358307,-12.7527,-10.42868
5.327455, 0.216629, 4.378616,-12.68631,-10.38852
5.428199, 0.1256714, 4.368134,-12.77361,-10.43458
5.537944, 0.1097412, 4.420212,-12.68932,-10.4501
5.638225, 0.08987427, 4.404541,-12.67644,-10.44651
5.749323, 0.06002808, 4.387283,-12.82028,-10.37901
5.849402, 0.161438, 4.405304,-12.64911,-10.45117
5.949533, 0.04231262, 4.468643,-12.60411,-10.33718
6.060318, 0.1053009, 4.400284,-12.79866,-10.34549
6.171625, 0.1217804, 4.404892,-12.71093,-10.38939
6.282664, 0.08213806, 4.399124,-12.59122,-10.38932
6.393452, 0.05734253, 4.422989,-12.77552,-10.401
6.493478, 0.06095886, 4.448425,-12.698,-10.38412
6.604606, -0.01097107, 4.373917,-12.82699,-10.4014
6.715945, 0.2060242, 4.417709,-12.7244,-10.37533
6.826695, 0.1031036, 4.438934,-12.79535,-10.40758
6.937909, -0.2371368, 4.433395,-12.91397,-10.29305
7.037999, 0.005096436, 4.334961,-12.73846,-10.17565
7.149312, 0.04710388, 4.41629,-12.6318,-10.39456
7.259968, -0.07565308, 4.447327,-12.73496,-10.34516
7.370908, -0.03987122, 4.401367,-12.78883,-10.27713
7.471246, 0.03309631, 4.357956,-12.71426,-10.32353
7.582016, 0.0400238, 4.402313,-12.69983,-10.32221
7.682093, 0.140976, 4.438507,-12.65514,-10.34362
7.793027, -0.1243591, 4.462433,-12.6569,-10.40326
7.904195, 0.1812134, 4.445709,-12.65861,-10.21383
8.004964, 0.2727661, 4.389801,-12.67987,-10.3056
8.115313, 0.1721039, 4.442841,-12.6156,-10.30436
8.226341, 0.02275085, 4.247162,-12.64888,-10.3572
8.337358, 0.03149414, 4.385803,-12.6987,-10.3684
8.448404, 0.04431152, 4.421921,-12.66385,-10.31105
8.54856, -0.04026794, 4.365463,-12.78023,-10.38473
8.659442, 0.07177734, 4.432602,-12.75264,-10.29527
8.770535, -0.002258301, 4.426346,-12.66079,-10.32352
8.881677, 0.03431702, 4.460678,-12.68727,-10.34798
8.99264, -0.08840942, 4.463028,-12.68444,-10.40643
9.10383, 0.1405334, 4.428818,-12.67074,-10.34193
9.20385, 0.1743164, 4.367554,-12.69029,-10.39202
9.304695, -0.07762146, 4.424393,-12.75325,-10.32345
9.422744, 0.09315491, 4.407333,-12.71128,-10.249
9.523888, 0.3328705, 4.417267,-12.69387,-10.34904
9.624046, 0.01078796, 4.312408,-12.64182,-10.43994
9.734985, 0.1225281, 4.424652,-12.76452,-10.33818
9.835667, 0.07035828, 4.411392,-12.75394,-10.3931
9.936914, 0.1277924, 4.400299,-12.80082,-10.3775
10.0479, 0.2776337, 4.379715,-12.66615,-10.36119
10.15892, 0.1631012, 4.330582,-12.7142,-10.31895
10.27005, 0.06613159, 4.451614,-12.69712,-10.28013
10.38109, 0.159256, 4.365372,-12.74952,-10.28119
10.48137, -0.1006622, 4.380615,-12.64353,-10.25414
10.59215, 0.1808472, 4.480255,-12.77958,-10.3529
10.70329, 0.02432251, 4.518188,-12.75758,-10.22187
10.81458, 0.1042633, 4.544952,-12.66908,-10.31855
10.91494, 0.1481934, 4.377686,-12.73368,-10.3094
11.02537, 0.008346558, 4.432739,-12.69787,-10.27386
11.13649, 0.1991272, 4.516312,-12.70827,-10.29714
11.24752, -0.1265717, 4.450363,-12.74945,-10.36648
11.35857, -0.07885742, 4.37355,-12.87036,-10.35161
11.4698, -0.1171417, 4.466156,-12.857,-10.29951
11.57244, -0.1055756, 4.333298,-12.81562,-10.40198
11.68094, 0.1578674, 4.46904,-12.77272,-10.32438
11.79185, 0.3439178, 4.514954,-12.58152,-10.30755
11.90325, 0.1435394, 4.369308,-12.78143,-10.38598
12.00346, 0.2767334, 4.460602,-12.72254,-10.36088
12.11377, 0.00932312, 4.484573,-12.8775,-10.36489
12.21397, 7.966263, -2.438477,-13.44831,-11.11063
12.32493, 7.649673, -3.213898,-13.52804,-11.79821
12.436, 7.888809, -3.127411,-13.6256,-11.74716
12.547, 7.880188, -3.250565,-13.61905,-11.69487
12.64704, 7.829941, -3.028824,-13.68971,-11.44681
12.758, 7.969055, -3.297806,-13.5419,-11.70594
12.85809, 7.851074, -3.227951,-13.59511,-11.71167
12.9691, 7.994415, -3.26619,-13.5266,-11.68849
13.08024, 7.823654, -3.207886,-13.52815,-11.77486
13.19118, 7.714752, -3.293915,-13.6432,-12.06408
13.29142, 7.850616, -3.243622,-13.57185,-11.75936
13.40236, 7.91983, -3.112289,-13.60791,-11.73441
13.51343, 7.694824, -3.111038,-13.57262,-11.69239
13.62445, 7.947876, -3.156509,-13.52275,-11.72098
13.73569, 7.729141, -3.227341,-13.57525,-11.72505
13.84666, 7.818085, -3.211792,-13.46989,-11.81584
13.95757, 7.709427, -3.208679,-13.56153,-11.77934
14.05762, 7.938202, -3.199951,-13.70928,-11.78605
14.16886, 7.907959, -3.309418,-13.66326,-11.82825
14.27982, 8.020676, -3.319763,-13.64731,-11.69181
14.39108, 7.879593, -3.116241,-13.62947,-11.72131
14.50201, 7.904434, -3.274094,-13.71667,-11.82517
14.60225, 8.003113, -3.307327,-13.67802,-11.80554
