Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.04, -145, -145,NaN,NaN
0.3733333, -0.4196777, 4.129639,-12.64786,-10.31108
0.413249, -0.420166, 4.129913,-12.65437,-10.31716
0.4416859, -0.4201813, 4.129822,-12.65298,-10.31578
0.4628537, -0.420105, 4.12999,-12.63804,-10.3011
0.4848461, -0.1987915, 4.076355,-12.63357,-10.42205
0.5071403, -0.1985474, 4.07634,-12.63236,-10.4202
0.5292614, -0.1985321, 4.076401,-12.61875,-10.40789
0.5518376, -0.1984253, 4.076202,-12.62974,-10.41818
0.5741754, -0.4403229, 3.993759,-12.70689,-10.32572
0.5958905, -0.4403687, 3.993805,-12.71419,-10.33249
0.6182711, -0.4402771, 3.993683,-12.72352,-10.34155
0.6402633, -0.4403229, 3.993759,-12.71545,-10.33407
0.6657859, -0.4404297, 3.993851,-12.70511,-10.32381
0.6866201, -0.4017029, 4.024307,-12.74091,-10.42636
0.7074136, -0.4016724, 4.024353,-12.74572,-10.43075
0.7295531, -0.4019165, 4.024399,-12.75433,-10.43894
0.7516803, -0.4018707, 4.024323,-12.75419,-10.43869
0.7739253, -0.4017792, 4.024429,-12.74562,-10.43035
0.7961376, 0.1046906, 4.11174,-12.78018,-10.42393
0.8184388, 0.1050568, 4.111633,-12.79084,-10.43257
0.8406994, 0.1050262, 4.111496,-12.78996,-10.43318
0.8630064, 0.1050262, 4.111511,-12.78893,-10.43155
0.8849366, 0.1051025, 4.111511,-12.78145,-10.42477
0.9071871, -0.1691284, 4.10231,-12.75684,-10.43491
0.9294422, -0.16922, 4.102417,-12.7558,-10.43428
0.9516746, -0.1688538, 4.102341,-12.75261,-10.43054
0.9738243, -0.1689453, 4.102295,-12.75248,-10.43079
0.9962463, -0.2345734, 4.079529,-12.69407,-10.42118
1.018312, -0.2345581, 4.07933,-12.71101,-10.43763
1.041972, -0.2345276, 4.079391,-12.7015,-10.42878
1.066033, -0.2346497, 4.079437,-12.69308,-10.42076
1.09027, -0.2346649, 4.079422,-12.70419,-10.43133
1.112233, -0.5132751, 4.042938,-12.67035,-10.44316
