Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.02, -145, -145,NaN,NaN
0.04, -145, -145,NaN,NaN
0.3733333, -4.39798, 2.747971,-20.14548,-15.65892
0.3887756, -4.39798, 2.747971,-20.14548,-15.65892
0.396555, -4.39798, 2.747971,-20.14548,-15.65892
0.4042842, -4.39798, 2.747971,-20.14548,-15.65892
0.4156784, -4.39798, 2.747971,-20.14548,-15.65892
0.4263805, -4.39798, 2.747971,-20.14548,-15.65892
0.4377946, -4.39798, 2.747971,-20.14548,-15.65892
0.4488027, -4.39798, 2.747971,-20.14548,-15.65892
0.4600884, -4.39798, 2.747971,-20.14548,-15.65892
0.4712724, -4.39798, 2.747971,-20.14548,-15.65892
0.4821433, -4.43306, 2.848251,-20.2576,-15.67736
0.4931587, -4.43306, 2.848251,-20.2576,-15.67736
0.5044757, -4.43306, 2.848251,-20.2576,-15.67736
0.5154417, -4.43306, 2.848251,-20.2576,-15.67736
0.5264273, -4.43306, 2.848251,-20.2576,-15.67736
0.537674, -4.43306, 2.848251,-20.2576,-15.67736
0.5487961, -4.43306, 2.848251,-20.2576,-15.67736
0.5599608, -4.43306, 2.848251,-20.2576,-15.67736
0.5709717, -4.43306, 2.848251,-20.2576,-15.67736
0.5820054, -4.43306, 2.848251,-20.2576,-15.67736
0.5932406, -4.312958, 2.904755,-20.10252,-15.65223
0.6042143, -4.312958, 2.904755,-20.10252,-15.65223
0.6154069, -4.312958, 2.904755,-20.10252,-15.65223
0.6263992, -4.312958, 2.904755,-20.10252,-15.65223
0.6375443, -4.312958, 2.904755,-20.10252,-15.65223
0.6776205, -4.312958, 2.904755,-20.10252,-15.65223
0.6860428, -4.312958, 2.904755,-20.10252,-15.65223
0.6939886, -4.600922, 2.91864,-20.29438,-15.61043
0.704677, -4.600922, 2.91864,-20.29438,-15.61043
0.7158488, -4.600922, 2.91864,-20.29438,-15.61043
0.7269374, -4.600922, 2.91864,-20.29438,-15.61043
0.7380215, -4.600922, 2.91864,-20.29438,-15.61043
0.7491483, -4.600922, 2.91864,-20.29438,-15.61043
0.7603066, -4.600922, 2.91864,-20.29438,-15.61043
0.7712469, -4.600922, 2.91864,-20.29438,-15.61043
0.7823942, -4.600922, 2.91864,-20.29438,-15.61043
0.7935084, -4.600922, 2.91864,-20.29438,-15.61043
