Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.02, -145, -145,NaN,NaN
0.04, -145, -145,NaN,NaN
0.3733333, -3.422256, 2.179733,-12.2788,-6.527175
0.3874009, -3.422485, 2.179626,-12.28522,-6.532124
0.3959068, -3.422638, 2.179688,-12.27817,-6.52608
0.4068877, -3.422485, 2.179626,-12.27025,-6.518973
0.4181302, -3.422318, 2.179596,-12.28553,-6.532104
0.4288526, -3.422409, 2.179626,-12.27831,-6.525992
0.4405203, -3.422531, 2.179764,-12.27903,-6.527449
0.4513501, -3.422546, 2.179733,-12.28234,-6.529669
0.4629728, -3.422653, 2.179779,-12.27477,-6.523247
0.4737422, -3.525543, 2.142975,-12.3656,-6.556186
0.4847817, -3.52533, 2.143036,-12.36476,-6.557164
0.4957834, -3.525284, 2.143143,-12.34676,-6.540461
0.5069098, -3.52504, 2.142975,-12.35547,-6.547978
0.5179759, -3.524979, 2.14296,-12.3588,-6.550286
0.5292438, -3.524979, 2.143082,-12.36548,-6.556953
0.5404218, -3.525131, 2.142883,-12.35677,-6.548549
0.5811058, -3.565659, 2.164459,-12.35537,-6.630427
0.5892136, -3.565659, 2.164337,-12.36212,-6.63516
0.5971811, -3.565735, 2.164383,-12.35415,-6.628517
0.6072807, -3.565598, 2.164337,-12.36999,-6.642495
0.6181864, -3.565704, 2.164337,-12.36804,-6.640876
0.6292496, -3.565857, 2.164398,-12.3533,-6.628046
0.6406001, -3.565567, 2.164215,-12.36584,-6.638611
0.6515118, -3.565765, 2.164169,-12.36944,-6.641437
0.6625034, -3.565567, 2.164169,-12.35904,-6.632289
0.6737003, -3.565704, 2.164032,-12.36624,-6.63852
0.6848359, -3.261627, 2.210602,-12.32382,-6.565242
0.6960449, -3.261444, 2.210571,-12.31904,-6.561383
0.7071792, -3.261703, 2.210571,-12.31399,-6.556317
0.7182764, -3.261719, 2.210556,-12.32261,-6.564581
0.7293206, -3.261612, 2.210571,-12.31497,-6.556407
0.7404342, -3.261566, 2.210648,-12.32221,-6.564544
0.7514987, -3.261795, 2.210602,-12.31952,-6.561596
0.7625173, -3.261612, 2.210724,-12.30548,-6.548815
0.773619, -3.261383, 2.210556,-12.31766,-6.560018
0.7847996, -3.261261, 2.210556,-12.30595,-6.54939
0.7961165, -3.123398, 2.260422,-12.28455,-6.514589
