Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.02, -145, -145,NaN,NaN
0.04, -145, -145,NaN,NaN
0.3733333, -145, -145,NaN,NaN
0.399184, -145, -145,NaN,NaN
0.4075488, -145, -145,NaN,NaN
0.4149787, -145, -145,NaN,NaN
0.4218445, -145, -145,NaN,NaN
0.4331025, -145, -145,NaN,NaN
0.4438202, -145, -145,NaN,NaN
0.4552203, -145, -145,NaN,NaN
0.4662654, -145, -145,NaN,NaN
0.4771788, -145, -145,NaN,NaN
0.4884695, -145, -145,NaN,NaN
0.4998074, -145, -145,NaN,NaN
0.5105677, -145, -145,NaN,NaN
0.5217454, -145, -145,NaN,NaN
0.5329438, -145, -145,NaN,NaN
0.5442969, -145, -145,NaN,NaN
0.5556802, -145, -145,NaN,NaN
0.5666627, -145, -145,NaN,NaN
0.5772026, -145, -145,NaN,NaN
0.5882455, -145, -145,NaN,NaN
0.5995094, -145, -145,NaN,NaN
0.6107802, -145, -145,NaN,NaN
0.6216127, -145, -145,NaN,NaN
0.6327642, -145, -145,NaN,NaN
0.6438178, -145, -145,NaN,NaN
0.6549692, -145, -145,NaN,NaN
0.6663311, -145, -145,NaN,NaN
0.6772708, -145, -145,NaN,NaN
0.6882438, -145, -145,NaN,NaN
0.6999703, -145, -145,NaN,NaN
0.7103803, -145, -145,NaN,NaN
0.7214664, -145, -145,NaN,NaN
0.7351794, -145, -145,NaN,NaN
0.7435434, -145, -145,NaN,NaN
0.7547032, -145, -145,NaN,NaN
0.7659822, -145, -145,NaN,NaN
0.7770181, -145, -145,NaN,NaN
0.788088, -145, -145,NaN,NaN
0.7991363, -145, -145,NaN,NaN
0.8104479, -145, -145,NaN,NaN
0.8213494, -145, -145,NaN,NaN
0.862668, -145, -145,NaN,NaN
0.8703716, -145, -145,NaN,NaN
0.877977, -145, -145,NaN,NaN
0.8885581, -145, -145,NaN,NaN
0.899649, -145, -145,NaN,NaN
0.9107866, -145, -145,NaN,NaN
0.9219463, -145, -145,NaN,NaN
0.9335133, -145, -145,NaN,NaN
0.9441236, -145, -145,NaN,NaN
0.955161, -145, -145,NaN,NaN
0.9664403, -145, -145,NaN,NaN
0.9773667, -145, -145,NaN,NaN
0.988717, -145, -145,NaN,NaN
0.9998022, -145, -145,NaN,NaN
